player_key,player_id,name,fantasy_team
370.p.7569,7569,Brian McCann,1
370.p.9015,9015,Salvador Perez,1
370.p.9540,9540,Jose Abreu,1
370.p.8949,8949,DJ LeMahieu,1
370.p.9111,9111,Manny Machado,1
370.p.9557,9557,Javier Baez,1
370.p.9174,9174,Brian Dozier,1
370.p.7829,7829,Ben Zobrist,1
370.p.7455,7455,Curtis Granderson,1
370.p.8824,8824,Mark Trumbo,1
370.p.9341,9341,Yasiel Puig,1
370.p.9630,9630,Joey Gallo,1
370.p.9571,9571,Trevor Story,1
370.p.9414,9414,Joc Pederson,1
370.p.6039,6039,Adrian Beltre,1
370.p.9610,9610,J.P. Crawford,1
370.p.9637,9637,Marcus Stroman,1
370.p.9636,9636,Daniel Norris,1
370.p.9821,9821,Kendall Graveman,1
370.p.9872,9872,Jose Berrios,1
370.p.9882,9882,Aaron Nola,1
370.p.8458,8458,Mark Melancon,1
370.p.8958,8958,Tony Watson,1
370.p.8287,8287,David Robertson,1
370.p.8439,8439,Shawn Kelley,1
370.p.7970,7970,Tyler Clippard,1
370.p.9347,9347,Brandon Maurer,1
370.p.10313,10313,Jacob Barnes,1
370.p.9245,9245,Matt Harvey,1
370.p.9993,9993,Adam Conley,1
370.p.8572,8572,Tyler Flowers,2
370.p.9045,9045,Martin Maldonado,2
370.p.7481,7481,Kendrys Morales,2
370.p.10056,10056,Trea Turner,2
370.p.8588,8588,Justin Turner,2
370.p.9584,9584,Corey Seager,2
370.p.8660,8660,Yonder Alonso,2
370.p.10440,10440,Ian Happ,2
370.p.10369,10369,Mitch Haniger,2
370.p.9747,9747,Adam Duvall,2
370.p.9142,9142,Marwin Gonzalez,2
370.p.8653,8653,Justin Smoak,2
370.p.7780,7780,Matt Kemp,2
370.p.10477,10477,Derek Fisher,2
370.p.9906,9906,Odubel Herrera,2
370.p.8575,8575,Michael Brantley,2
370.p.9701,9701,Jacob deGrom,2
370.p.9123,9123,Jameson Taillon,2
370.p.10105,10105,Kenta Maeda,2
370.p.9642,9642,Masahiro Tanaka,2
370.p.7790,7790,Jon Lester,2
370.p.9053,9053,Addison Reed,2
370.p.8174,8174,Wade Davis,2
370.p.8479,8479,Anthony Swarzak,2
370.p.9959,9959,Ryan Tepera,2
370.p.9039,9039,Brad Peacock,2
370.p.9653,9653,Tommy Kahnle,2
370.p.8771,8771,Zach Britton,2
370.p.9415,9415,Alex Wood,2
370.p.9582,9582,Sean Manaea,2
370.p.9097,9097,Gary Sanchez,3
370.p.10166,10166,Willson Contreras,3
370.p.7278,7278,Edwin Encarnacion,3
370.p.9104,9104,Jonathan Schoop,3
370.p.8685,8685,Mike Moustakas,3
370.p.10713,10713,Paul DeJong,3
370.p.10157,10157,Trey Mancini,3
370.p.9507,9507,Jose Ramirez,3
370.p.9338,9338,Jackie Bradley Jr.,3
370.p.8859,8859,Wil Myers,3
370.p.8370,8370,Dexter Fowler,3
370.p.10343,10343,Ryon Healy,3
370.p.9573,9573,Carlos Correa,3
370.p.7934,7934,Carlos Gonzalez,3
370.p.9572,9572,Devon Travis,3
370.p.7257,7257,Zack Greinke,3
370.p.8179,8179,Gio Gonzalez,3
370.p.10148,10148,Blake Snell,3
370.p.9310,9310,Jake Odorizzi,3
370.p.9698,9698,Chase Anderson,3
370.p.9063,9063,Dellin Betances,3
370.p.8622,8622,Craig Kimbrel,3
370.p.9907,9907,Roberto Osuna,3
370.p.9934,9934,Felipe Rivero,3
370.p.8207,8207,Darren O'Day,3
370.p.8641,8641,Sean Doolittle,3
370.p.9401,9401,Tyler Lyons,3
370.p.8281,8281,Jeff Samardzija,3
370.p.8918,8918,Alex Cobb,3
370.p.8680,8680,Mike Leake,3
370.p.7345,7345,Yadier Molina,4
370.p.9096,9096,Travis d'Arnaud,4
370.p.9723,9723,Justin Bour,4
370.p.8314,8314,Daniel Murphy,4
370.p.8658,8658,Freddie Freeman,4
370.p.8789,8789,Eduardo Nunez,4
370.p.8200,8200,Jed Lowrie,4
370.p.10298,10298,Whit Merrifield,4
370.p.9385,9385,Marcell Ozuna,4
370.p.8634,8634,Giancarlo Stanton,4
370.p.7681,7681,Nelson Cruz,4
370.p.8171,8171,Jay Bruce,4
370.p.10556,10556,Rhys Hoskins,4
370.p.9107,9107,Jedd Gyorko,4
370.p.8950,8950,Josh Harrison,4
370.p.9484,9484,Tanner Roark,4
370.p.9255,9255,Dan Straily,4
370.p.10261,10261,Joe Biagini,4
370.p.10509,10509,Walker Buehler,4
370.p.8419,8419,Rick Porcello,4
370.p.8176,8176,Jake McGee,4
370.p.9729,9729,Ken Giles,4
370.p.7792,7792,Pat Neshek,4
370.p.8846,8846,Julio Teheran,4
370.p.9272,9272,Justin Wilson,4
370.p.7825,7825,Jim Johnson,4
370.p.9217,9217,Dallas Keuchel,4
370.p.10179,10179,Michael Fulmer,4
370.p.9758,9758,Kyle Hendricks,4
370.p.9599,9599,Steven Matz,4
370.p.9356,9356,Evan Gattis,5
370.p.9718,9718,J.T. Realmuto,5
370.p.8967,8967,Paul Goldschmidt,5
370.p.8996,8996,Jose Altuve,5
370.p.9108,9108,Nicholas Castellanos,5
370.p.9201,9201,Andrelton Simmons,5
370.p.7627,7627,Ryan Zimmerman,5
370.p.9438,9438,Corey Dickerson,5
370.p.9590,9590,Byron Buxton,5
370.p.9351,9351,Khris Davis,5
370.p.9128,9128,Yoenis Cespedes,5
370.p.8571,8571,Neil Walker,5
370.p.9604,9604,Addison Russell,5
370.p.8030,8030,Mark Reynolds,5
370.p.9609,9609,Maikel Franco,5
370.p.7595,7595,Melky Cabrera,5
370.p.8300,8300,Jaime Garcia,5
370.p.8849,8849,Chris Archer,5
370.p.9068,9068,Drew Pomeranz,5
370.p.10070,10070,Zach Davies,5
370.p.7509,7509,Cole Hamels,5
370.p.8728,8728,Ivan Nova,5
370.p.8955,8955,Brad Hand,5
370.p.8692,8692,Matt Bush,5
370.p.7964,7964,Joakim Soria,5
370.p.7071,7071,Ryan Madson,5
370.p.10383,10383,Ty Blach,5
370.p.8534,8534,Jhoulys Chacin,5
370.p.9597,9597,Noah Syndergaard,5
370.p.9275,9275,Collin McHugh,5
370.p.8851,8851,Devin Mesoraco,6
370.p.8294,8294,Nick Hundley,6
370.p.9558,9558,Kris Bryant,6
370.p.8863,8863,Dee Gordon,6
370.p.10344,10344,Yuli Gurriel,6
370.p.8401,8401,Elvis Andrus,6
370.p.8285,8285,Chris Davis,6
370.p.8034,8034,Ryan Braun,6
370.p.8589,8589,Ian Desmond,6
370.p.9719,9719,David Peralta,6
370.p.9689,9689,Randal Grichuk,6
370.p.8857,8857,Eric Hosmer,6
370.p.9897,9897,Tim Anderson,6
370.p.9355,9355,Ender Inciarte,6
370.p.9101,9101,Tommy Joseph,6
370.p.9228,9228,Jorge Soler,6
370.p.9583,9583,C.J. Cron,6
370.p.8175,8175,David Price,6
370.p.9334,9334,Kevin Gausman,6
370.p.8061,8061,J.A. Happ,6
370.p.9987,9987,Joe Ross,6
370.p.9567,9567,Jon Gray,6
370.p.8405,8405,Neftali Feliz,6
370.p.9555,9555,Carl Edwards Jr.,6
370.p.9219,9219,Tyler Thornburg,6
370.p.8836,8836,Steve Cishek,6
370.p.9426,9426,Kevin Siegrist,6
370.p.9149,9149,Dan Otero,6
370.p.10003,10003,Mychal Givens,6
370.p.8099,8099,Ian Kennedy,6
370.p.8784,8784,Welington Castillo,7
370.p.8609,8609,Jonathan Lucroy,7
370.p.8868,8868,Anthony Rizzo,7
370.p.8691,8691,Tim Beckham,7
370.p.8984,8984,Kyle Seager,7
370.p.9319,9319,Xander Bogaerts,7
370.p.10235,10235,Rafael Devers,7
370.p.10159,10159,Andrew Benintendi,7
370.p.9118,9118,Starling Marte,7
370.p.9002,9002,J.D. Martinez,7
370.p.9613,9613,Gregory Polanco,7
370.p.9883,9883,Josh Bell,7
370.p.9842,9842,Tommy Pham,7
370.p.10093,10093,Keon Broxton,7
370.p.10621,10621,Vladimir Guerrero Jr.,7
370.p.9121,9121,Gerrit Cole,7
370.p.8590,8590,Madison Bumgarner,7
370.p.9317,9317,Hyun-Jin Ryu,7
370.p.9640,9640,Lucas Giolito,7
370.p.9331,9331,James Paxton,7
370.p.9298,9298,AJ Ramos,7
370.p.9413,9413,Alex Colome,7
370.p.9089,9089,Kelvin Herrera,7
370.p.8962,8962,Bryan Shaw,7
370.p.10133,10133,Taylor Rogers,7
370.p.9542,9542,Archie Bradley,7
370.p.8312,8312,Tommy Hunter,7
370.p.8270,8270,Charlie Morton,7
370.p.9585,9585,Julio Urias,7
370.p.9892,9892,Alex Reyes,7
370.p.9098,9098,Yasmani Grandal,8
370.p.8550,8550,Alex Avila,8
370.p.8633,8633,Logan Morrison,8
370.p.9634,9634,Rougned Odor,8
370.p.9105,9105,Nolan Arenado,8
370.p.9247,9247,Jean Segura,8
370.p.9900,9900,Yoan Moncada,8
370.p.9320,9320,Christian Yelich,8
370.p.8861,8861,Mike Trout,8
370.p.9325,9325,Aaron Hicks,8
370.p.9552,9552,Mookie Betts,8
370.p.9877,9877,Aaron Judge,8
370.p.9734,9734,Aaron Altherr,8
370.p.9110,9110,Miguel Sano,8
370.p.8875,8875,Bryce Harper,8
370.p.7850,7850,Troy Tulowitzki,8
370.p.9691,9691,Robbie Ray,8
370.p.8650,8650,Lance Lynn,8
370.p.9176,9176,Jose Quintana,8
370.p.9518,9518,Jimmy Nelson,8
370.p.7578,7578,Rich Hill,8
370.p.10214,10214,Edwin Diaz,8
370.p.8758,8758,Kenley Jansen,8
370.p.9712,9712,Corey Knebel,8
370.p.10029,10029,Zack Godley,8
370.p.8932,8932,Danny Duffy,8
370.p.9168,9168,Patrick Corbin,8
370.p.8616,8616,Aroldis Chapman,8
370.p.10514,10514,Luis Castillo,8
370.p.9185,9185,Blake Parker,8
370.p.8387,8387,Francisco Cervelli,9
370.p.8578,8578,Buster Posey,9
370.p.10504,10504,Cody Bellinger,9
370.p.7497,7497,Robinson Cano,9
370.p.9724,9724,Eugenio Suarez,9
370.p.8628,8628,Zack Cozart,9
370.p.8772,8772,Mitch Moreland,9
370.p.8930,8930,Eric Thames,9
370.p.9157,9157,A.J. Pollock,9
370.p.7264,7264,Jose Bautista,9
370.p.10000,10000,Nomar Mazara,9
370.p.9191,9191,Kole Calhoun,9
370.p.8921,8921,Logan Forsythe,9
370.p.8795,8795,Brandon Belt,9
370.p.9538,9538,Kevin Kiermaier,9
370.p.8185,8185,Carlos Carrasco,9
370.p.9321,9321,Taijuan Walker,9
370.p.9823,9823,Carlos Rodon,9
370.p.9456,9456,Danny Salazar,9
370.p.8773,8773,Greg Holland,9
370.p.8443,8443,Luke Gregerson,9
370.p.9040,9040,Brad Brach,9
370.p.9243,9243,Cody Allen,9
370.p.9879,9879,Luis Severino,9
370.p.9240,9240,Trevor Rosenthal,9
370.p.10045,10045,Kyle Barraclough,9
370.p.9992,9992,Vince Velasquez,9
370.p.9635,9635,Aaron Sanchez,9
370.p.8172,8172,Johnny Cueto,9
370.p.9575,9575,Lance McCullers Jr.,9
370.p.9818,9818,James McCann,10
370.p.9861,9861,Kyle Schwarber,10
370.p.8619,8619,Carlos Santana,10
370.p.7631,7631,Dustin Pedroia,10
370.p.9781,9781,Jake Lamb,10
370.p.9517,9517,Marcus Semien,10
370.p.9853,9853,Brandon Drury,10
370.p.8289,8289,Brett Gardner,10
370.p.7977,7977,Andrew McCutchen,10
370.p.9339,9339,George Springer,10
370.p.9671,9671,Steven Souza Jr.,10
370.p.9116,9116,Francisco Lindor,10
370.p.6853,6853,Victor Martinez,10
370.p.7062,7062,Joe Mauer,10
370.p.8180,8180,Clayton Kershaw,10
370.p.8193,8193,Max Scherzer,10
370.p.7590,7590,Justin Verlander,10
370.p.7547,7547,Ervin Santana,10
370.p.8623,8623,Jake Arrieta,10
370.p.9410,9410,Nate Karns,10
370.p.8565,8565,Pedro Strop,10
370.p.10264,10264,Chris Devenski,10
370.p.8567,8567,Daniel Hudson,10
370.p.9122,9122,Trevor Bauer,10
370.p.7622,7622,Scott Feldman,10
370.p.8684,8684,Mike Montgomery,10
370.p.9672,9672,Blake Treinen,10
370.p.8262,8262,Brad Ziegler,10
370.p.7048,7048,Adam Wainwright,10
370.p.8620,8620,Wilson Ramos,11
370.p.9336,9336,Austin Hedges,11
370.p.7488,7488,Hanley Ramirez,11
370.p.10316,10316,Ryan Schimpf,11
370.p.9106,9106,Anthony Rendon,11
370.p.9446,9446,Brad Miller,11
370.p.7311,7311,Matt Holliday,11
370.p.8080,8080,Justin Upton,11
370.p.8957,8957,Charlie Blackmon,11
370.p.8762,8762,Lorenzo Cain,11
370.p.9113,9113,Billy Hamilton,11
370.p.7754,7754,Mike Napoli,11
370.p.7912,7912,Jacoby Ellsbury,11
370.p.9753,9753,Domingo Santana,11
370.p.7835,7835,Rajai Davis,11
370.p.8611,8611,Starlin Castro,11
370.p.8082,8082,Brandon Moss,11
370.p.6953,6953,John Lackey,11
370.p.8329,8329,Marco Estrada,11
370.p.8699,8699,Tyson Ross,11
370.p.10189,10189,Jharel Cotton,11
370.p.9459,9459,Sonny Gray,11
370.p.6659,6659,Joaquin Benoit,11
370.p.7461,7461,Joe Blanton,11
370.p.7401,7401,Santiago Casilla,11
370.p.8800,8800,Jeremy Jeffress,11
370.p.8394,8394,Koji Uehara,11
370.p.9695,9695,Pedro Baez,11
370.p.10269,10269,Derek Law,11
370.p.9703,9703,Anthony DeSclafani,11
370.p.8395,8395,Matt Wieters,12
370.p.9322,9322,Mike Zunino,12
370.p.7946,7946,Joey Votto,12
370.p.8953,8953,Matt Carpenter,12
370.p.7914,7914,Evan Longoria,12
370.p.10183,10183,Alex Bregman,12
370.p.9961,9961,Travis Shaw,12
370.p.9281,9281,Avisail Garcia,12
370.p.7812,7812,Adam Jones,12
370.p.7707,7707,Nick Markakis,12
370.p.9771,9771,Chris Taylor,12
370.p.8723,8723,Josh Donaldson,12
370.p.7490,7490,Ian Kinsler,12
370.p.7628,7628,Russell Martin,12
370.p.9875,9875,Michael Conforto,12
370.p.9376,9376,Carlos Martinez,12
370.p.8780,8780,Chris Sale,12
370.p.9095,9095,Yu Darvish,12
370.p.8562,8562,Stephen Strasburg,12
370.p.9048,9048,Corey Kluber,12
370.p.9902,9902,Raisel Iglesias,12
370.p.9787,9787,Alex Claudio,12
370.p.9670,9670,Shane Greene,12
370.p.7699,7699,Yusmeiro Petit,12
370.p.7847,7847,Andrew Miller,12
370.p.9537,9537,Enny Romero,12
370.p.8821,8821,Brandon Kintzler,12
370.p.9125,9125,Dylan Bundy,12
370.p.9189,9189,Nick Vincent,12
370.p.10136,10136,Gabriel Ynoa,12
