fantasy_team,keepers,WAR,salary,picks
1,18,43.5,744.59905,12
2,22,46.7,749.156,8
3,22,49.2,749.017,8
4,18,36.5,736.09366,12
5,16,38.1,699.71787,14
6,17,29.2,748.01935,13
7,22,45.5,743.82747,8
8,20,59,740.18466,10
9,19,44.8,748.37592,11
10,14,35.3,746.31857,16
11,15,25.1,746.52642,15
12,12,43.4,735.72275,18
